樺太・千島交換条約|ロシア領の樺太と日本領の千島
政党内閣|原敬内閣成立。本格的な??
普通選挙法|1925年25歳以上の男子に選挙権
治安維持法|共産主義等を取り締まる
労働運動|労働者が団結してロ魚津組合を結成。労働条件の改善を目指し労働争議を起こす
小作争議|小作人が地主に対して起こしたもの
全国水平社|非差別部落の人々~??を結成(1922年)
ワシントン会議|1921~22年、??会議。海軍力の制限、日本は山東省を中国に返す、中国の領土保全、日英同盟の解消
パリ不戦条約|1928年??不戦条約
ロンドン海軍軍縮会議|世界的に軍縮へ進む
関東大震災|1923年9月1日
ラジオ放送|新聞など、??放送
民主主義|自由の考え方が広がる??主義
芥川龍之介、小林多喜二|芥川???、小林???
世界恐慌|1929年アメリカ、ニューヨークの株価が大暴落、失業者が増え世界中に広がる
ニューディール政策|恐慌に対してアメリカのルーズベルトが行った政府が積極的に公共事業を起こすなどのこと
ブロック経済|イギリス、フランスの本国と植民地との貿易をさかんにし、外国製品には高い税を課す
金融恐慌|1927年、世界恐慌によってドイツ、イタリア、日本が影響を受けたもの??恐慌
昭和恐慌|昭和5年の恐慌1930年、会社倒産、凶作、小作争議多発
ソ連|スターリンの五カ年計画(計画経済)で恐慌の影響をうけなかった国
全体主義|??の体制自由主義、民主主義を否定、ファシズム、イタリア~ムッソリーニが率いるファシスト党
ファシスト党|イタリアのムッソリーニが率いる党
ナチス|ドイツヒトラーが率いる党、ワイマール憲法を否定、再軍備、ユダヤ人迫害、国連脱退
ロンドン軍縮会議|1930年、海軍の補助艦が制限、濱口首相、襲撃される
しょうかいせき|??が率いる中国民党が南京に国民しえうをつくる、ホクバツ
1|張作霖を日本が暗殺(1928年)排日運動が広がる、日本、満州の権益を守ろうとした~関東軍を置くA.1
満州事変|1931年満州国建国の前、柳条湖事件をきっかけに関東軍軍事行動を起こす。満州を占領
満州国|1932年、軍が建国したもの
五・一五事件|満州国に反対する犬養毅首相を海軍省甲羅が暗殺政党政治終了
国際連盟|1932年、リットン調査団を派遣した連盟、日本軍の満州からの撤退を韓国、1933年、日本、国連を脱退
二・二六事件|1936年2月26日、陸軍の青年将校らが首相官邸などを襲撃、軍部の発言力が強まる
盧溝橋事件|1937年、北京郊外での??事件をきっかけに日中戦争恥まえる
中国国民党|しゅうかいせきの党
中国共産党|毛沢東の党
国家総動員法|1938年戦時体制を強める、情報統制、配給制が始まる
大政翼賛会|1940年、政党は解散して??に合流
公民化政策|植民地に対し、??創始改名
独ソ不可侵条約|ドイツ、1939年に?条約を結ぶ、ポーランドに侵攻、英、仏が宣戦布告、第二次世界大戦が始まる
日独伊三国同盟|1940年、パリ占領、???同盟
大西洋憲章|ドイツが1941年にドイツに侵攻したことに対し、ルーズベルト、チャーチルが??を発表ファシズムと戦う
日ソ中立条約|1940年、仏領インドシナ北部へ侵攻、1941年??を結ぶ、仏領インドシナ南部まで占領
大東亜共栄圏|仏領インドシナ南部まで占領、??の建設を唱えた。これに対し、ABCD包囲網~日本に経済封鎖を行う
真珠湾|1941年12月8日、日本は英領マレー半島に上陸、アメリカのハワイ、??を攻撃
太平洋戦争|日本が真珠湾を攻撃したあと、英、米に宣戦布告し、??戦争が始まる。三国同盟により独・伊もアメリカに宣戦布告。日本、短期間で東南アジアから南太平洋を占領
枢軸国側|太平洋戦争、??国側。日本、独、伊
連合国側|太平洋戦争、??国側。アメリカ、英、中
ミッドウェー海戦|日本、1942年、??海鮮で敗北。日本のこうせい、止まる
サイパン島|1944年に陥落したところ。これによって日本全土への空襲が始める
沖縄|1945年3月、アメリカ軍、??に上陸6月には占領。??戦
イタリア|第二次世界大戦で一番最初に降伏した国1943年9月
 ヤルタ会議|1945年2月、?/会議=米、英、ソ対日参戦
 ドイツ|第二次世界大戦で二番目に降伏した国。5月
 ポツダム宣言|7月、??宣言を発表。日本の無条件降伏を勧告。
 原子爆弾|8月6日、アメリカ~広島に??を投下
 ソ連|原子爆弾投下後、参戦した国
 長崎|二度目の原爆が投下された場所
 ポツダム宣言|14日、??宣言の受け入れを決定
 ラジオ|15日、天皇が??で降伏を伝える
GHQ|連合国軍最高司令官総司令部の略称
占領政策|軍隊の解散、財閥の解体、農地改革、労働組合法、極東国際軍事裁判
日本国憲法|1946年11月3日に公布されたもの。国民主権、基本的人権の尊重、平和主義
教育基本法|小中学校を義務教育とする、など
国際連合|1945年10月、??成立-世界平和の確率
冷戦|アメリカ中心の西側陣営と、ソ連中心の東側陣営の対立
中華人民共和国|1949年に成立した。中国共産党-??
朝鮮|南北にわかれて独立したもの
朝鮮戦争|1950年、??が始まる-休戦協定1953年
警察予備隊|GHQの占領政策がかわる-??隊
朝鮮特需|朝鮮戦争-特別な需要があった
サンフランシスコ平和条約|日本、独立回復1951年
日米安全保障条約|日本に米軍の駐留を認めた1951年
日ソ共同宣言|1956年、日本、ソ連と国交回復-日本、国際連合に加盟
水爆実験|1954年、アメリカ??実験-第五福竜丸、被爆
ハンガリー動乱|1956年??動乱
ベルリンの壁|1961年??壁が出来る
キューバ危機|1962年??危機
ベトナム戦争|1965年。75年に集結した戦争。-ベトナム統一1976年
社会党再統一|野党1955年
自由民主党|1955年、与党
55年体制|1993年ｎまで続いたもの与党、野党など
岸信介|1960年、日米安保条約の改定した首相
池田勇人|所得倍増計画。首相
高度経済成長|1955年かあら1973年まで続いた。??成長
1946年|アジア初の東京オリンピック-東海道新幹線開通
国民総生産|1968年??が第二位。経済大国となる。。生活水準があがる
公害|高度経済成長。社会問題
公害対策基本法|1967年、公害に対しての法
環境庁|1971年、公害など。??庁
石油危機|1973年第4次中東戦争
サミット|1975年に開催されたもの先進国首脳会談
日韓基本条約|1965年、韓国と国交正常化　さとうえいさく
日中共同声明|1972年、中国と国交正常化　たなかかくえい
日中平和有効条約|1978年、??友好条約 ふくだ　たけお
小笠原諸島|1968年、?????日本に復帰
沖縄|1972年、??日本に復帰
